date,norad_id,satellite_name,altitude_km,semi_major_axis_km,decay_rate_m,is_maneuver,sin_doy,cos_doy,eccentricity,perigee_alt_km,mean_motion,is_circular,Kp_mean,Kp_max,Kp_min,Kp_Lag_3h,Kp_Lag_6h,Kp_Lag_24h,Kp_Roll_24h_Mean,Kp_Roll_72h_Mean
2015-01-06,5,VANGUARD 1,2640.1897294011187,8621.683411525846,1.5105361126188654,False,0.10303137904317879,0.9946781061893646,0.1844703,653.1018860966506,0.04731861570852636,False,2.59725,3.667,1.0,2.7500416666666667,2.8055416666666666,2.52775,2.550157986111111,2.5745048225308644
2015-01-07,5,VANGUARD 1,3684.943359234463,8621.659137036237,24.274489609524608,False,0.1201261651823505,0.9927586335250793,0.184447,653.2829741873138,0.04731881554872572,False,3.5554583333333336,6.333,1.667,3.3054583333333336,3.263833333333334,2.59725,3.0491765046296297,2.9505279706790124
2015-04-30,5,VANGUARD 1,1026.2381262506628,8621.04692518668,-30.697824362505344,True,0.8806828564301475,-0.47370635037968,0.1845369,652.008650858198,0.04732385605960547,False,0.9722083333333335,2.333,0.333,1.02775,0.9027916666666668,0.9305416666666666,1.0266516203703706,1.1350827546296296
2015-05-01,5,VANGUARD 1,828.3541939427311,8621.006010712179,40.91447450082342,False,0.8724040568049612,-0.48878539428899265,0.1845766,651.6330326753623,0.04732419295178434,False,1.25,2.0,0.333,1.1666666666666667,1.2083333333333333,0.9722083333333335,1.0952471064814817,1.0116813271604939
2015-05-07,5,VANGUARD 1,665.6759879874646,8621.002327850385,-22.870748633067706,True,0.8174009818249189,-0.5760691233798758,0.1846215,651.2429465791556,0.047324223276880094,False,1.5696666666666668,2.333666666666667,0.667,1.541875,1.6807083333333335,3.4027083333333334,2.30681712962963,2.131520640432099
2015-06-09,5,VANGUARD 1,847.6966670185694,8620.853479936977,6.99978816373914,False,0.37945284372454435,-0.925211078289358,0.1846234,651.1051995691814,0.04732544893434731,False,2.722208333333333,3.667,1.333,2.861166666666666,3.000083333333333,4.319541666666667,3.4865839120370374,2.60946875
2015-06-10,5,VANGUARD 1,2239.2278965337505,8620.852743396883,0.7365400942944689,False,0.36348161248290634,-0.9316013725767187,0.1846236,651.1028748410745,0.047325454999366454,False,2.5555833333333333,3.0,2.0,2.5833749999999998,2.5833749999999998,2.722208333333333,2.6250000000000004,3.150003858024691
2015-06-11,5,VANGUARD 1,3486.0511384317415,8620.843597595593,9.145801290287636,False,0.3474028211842774,-0.9377159910299093,0.1846246,651.0867967269451,0.047325530310323674,False,2.0693333333333332,3.0,1.111,2.2082083333333333,2.3610416666666665,2.5555833333333333,2.4098489583333333,2.84047762345679
2015-06-12,5,VANGUARD 1,3819.127513876914,8620.837678802007,5.91879358580627,False,0.3312212278016865,-0.9435531242349544,0.1846261,651.0690394317398,0.04732557904864304,False,1.6110833333333334,2.333666666666667,1.0,1.5137916666666669,1.4720416666666667,2.0693333333333332,1.6005850694444446,2.211811342592593
2015-06-13,5,VANGUARD 1,3124.627913724932,8620.836756806426,0.9219955809385283,False,0.31494162072895193,-0.9491110448902284,0.1846262,651.0674255769318,0.047325586640825285,False,2.222166666666667,3.4443333333333337,1.667,2.111125,2.055625,1.6110833333333334,1.994054976851852,2.0014963348765433
2015-06-14,5,VANGUARD 1,1684.7552165668055,8620.829068220704,7.688585721552954,False,0.2985688173637202,-0.9543881083175908,0.184631,651.0197765260482,0.047325649952643906,False,3.0001666666666664,4.333,1.667,3.0556666666666668,2.986166666666667,2.222166666666667,2.7943628472222226,2.1296676311728397
2015-06-17,5,VANGUARD 1,2948.9079828911767,8620.816181532427,3.9899933199194493,False,0.24893980855376657,-0.9685189578512204,0.1846424,650.9109918154445,0.04732575606866242,False,2.5695,4.0,0.667,2.6944583333333334,2.8055833333333333,2.3335,2.5930416666666667,2.6124893904320987
2015-06-18,5,VANGUARD 1,3785.3907220834285,8620.814989304243,1.1922281846636906,False,0.23224292400907015,-0.9726578145718654,0.1846449,650.8884676856596,0.04732576588613947,False,1.4860833333333332,2.667,0.333,1.5278333333333334,1.5417500000000002,2.5695,1.8855133101851855,2.3619081790123455
2015-08-17,5,VANGUARD 1,3271.4167789106737,8620.610446141354,2.1829730958415894,False,-0.7157953492826642,-0.6983101158835584,0.184836,649.0742937183713,0.04732745025976734,False,3.611125,4.333,2.333,3.736166666666667,3.79175,4.000166666666666,3.7279056712962966,3.4858387345679014
2015-08-22,5,VANGUARD 1,3717.626978422177,8620.601306281142,1.653120745686465,False,-0.7731383255706026,-0.6342374393978054,0.1848219,649.1883937117791,0.047327525527091324,False,2.0137916666666666,3.333,0.667,1.8471666666666666,1.7360416666666667,1.3610416666666667,1.5535885416666668,2.0608157793209876
2015-08-23,5,VANGUARD 1,3688.4295473492452,8620.598068921969,3.237359172999277,False,-0.7839338166829201,-0.620844401650647,0.1848186,649.2142026611064,0.04732755218699566,False,3.625125,5.333,2.333,3.625125,3.4862083333333334,2.0137916666666666,3.0802268518518523,2.1800779320987655
2015-08-29,5,VANGUARD 1,3836.345316962804,8620.582740517933,2.119374306857935,False,-0.8437282590292712,-0.5367705514607103,0.1848142,649.2396377953037,0.047327678417933804,False,2.5556666666666668,4.333,1.667,2.8334166666666665,3.16675,4.458333333333333,3.626377893518519,4.32309413580247
2015-08-30,5,VANGUARD 1,3314.9263766926724,8620.579683322789,3.0571951447200263,False,-0.8528367217694595,-0.522177676659508,0.1848152,649.2285250335508,0.04732770359430826,False,0.9028333333333333,1.667,0.333,0.9723333333333334,1.1390416666666667,2.5556666666666668,1.5784762731481485,3.2805356867283955
2015-08-31,5,VANGUARD 1,1960.881076351938,8620.577246046107,2.4372766820306424,False,-0.8616928164028522,-0.5074302810827518,0.1848164,649.2161935099512,0.04732772366559466,False,1.0556666666666665,1.667,0.333,1.0139166666666666,0.9444166666666667,0.9028333333333333,0.9129837962962966,2.0392793209876543
2015-09-01,5,VANGUARD 1,721.5571653944985,8620.573659013775,3.5870323317794828,False,-0.8702939222685674,-0.49253272872205434,0.184819,649.1908559285075,0.047327753205292256,False,1.139,1.889,0.667,1.125125,1.1807083333333332,1.0556666666666665,1.1512008101851854,1.2142202932098767
2015-09-02,5,VANGUARD 1,1197.4288844663754,8620.57095682054,2.70219323465426,False,-0.8786374941610001,-0.4774894280028391,0.1848221,649.1619293819595,0.04732777545824021,False,1.7082500000000003,3.0,0.333,1.6527500000000002,1.4583333333333333,1.139,1.316963541666667,1.1270493827160495
2015-09-03,5,VANGUARD 1,2698.2456716131537,8620.568228137363,2.728683177338098,False,-0.886721063082993,-0.46230483047981086,0.1848251,649.1338433150522,0.04732779792935433,False,1.9305833333333335,3.9996666666666667,1.0,1.7500416666666665,1.8194583333333334,1.7082500000000003,1.8751660879629632,1.4477768132716051
2015-09-04,5,VANGUARD 1,3701.921220426201,8620.565335205709,2.892931654059794,False,-0.8945422369764496,-0.4469834295196741,0.1848273,649.1125198260424,0.047327821753098624,False,3.222041666666667,4.333,2.0003333333333333,3.3886249999999998,3.360875,1.9305833333333335,2.9101782407407413,2.0341026234567905
2015-09-05,5,VANGUARD 1,3717.775573013124,8620.562299219608,3.0359861011675093,False,-0.9020987014301837,-0.43152975897147144,0.1848309,649.079010948778,0.04732784675494016,False,2.5695,3.667,1.667,2.5973333333333333,2.5139583333333335,3.222041666666667,2.596228587962963,2.460524305555556
2015-09-06,5,VANGUARD 1,2743.8299807663293,8620.55791214494,4.387074668557034,False,-0.9093882203647925,-0.4159483918249421,0.184836,649.0314698957172,0.04732788288325567,False,2.708375,4.0,2.0,2.708375,2.6806249999999996,2.5695,2.7016614583333336,2.7360227623456788
2015-09-07,5,VANGUARD 1,1249.6696725959869,8620.554865568589,3.046576350243413,False,-0.9164086366943458,-0.4002439388573056,0.1848382,649.0100212156494,0.04732790797236367,False,4.486166666666667,6.333,2.333,3.9722916666666666,3.6528333333333336,2.708375,3.258519675925926,2.852136574074074
2015-09-08,5,VANGUARD 1,700.1162424195439,8620.553535672629,1.329895960225258,False,-0.9231578729647039,-0.38442104726885545,0.1848397,648.9960063049612,0.04732791892430473,False,3.0000416666666667,6.0,1.333,3.3055416666666666,3.7499583333333333,4.486166666666667,4.299381944444445,3.4198543595679016
2015-09-09,5,VANGUARD 1,1898.5181511292096,8620.550732825846,2.8028467822878156,False,-0.9296339319682695,-0.3684843993077793,0.1848414,648.9790665992905,0.04732794200628408,False,5.277833333333334,6.0,3.5556666666666663,5.194541666666667,4.791791666666667,3.0000416666666667,4.032887731481481,3.8635964506172837
2015-09-10,5,VANGUARD 1,3282.4109960243936,8620.545111243988,5.621581858576974,False,-0.9358348973349941,-0.35243871088460327,0.1848441,648.951208646693,0.047327988301142494,False,2.388875,4.333,1.0,2.5694166666666667,2.777791666666667,5.277833333333334,3.514325231481482,3.9488649691358026
2015-09-11,5,VANGUARD 1,3843.4931942222006,8620.544380068133,0.7311758545256453,False,-0.9417589340994617,-0.33628873017668287,0.1848443,648.948888515506,0.04732799432252841,False,4.9584166666666665,7.0,3.0,4.861166666666667,4.944458333333333,2.388875,4.017137731481482,3.8547835648148148
2015-09-12,5,VANGUARD 1,3371.4078343260544,8620.539362510472,5.017557661631145,False,-0.9474042892438845,-0.32003923622313857,0.1848455,648.9344537775423,0.04732803564319846,False,2.75,4.333,1.2223333333333333,3.0416666666666665,3.263916666666667,4.9584166666666665,3.9908032407407408,3.8407554012345684
2015-09-13,5,VANGUARD 1,2039.6072044184968,8620.536549078484,2.813431987306103,False,-0.9527692922168511,-0.30369503751065885,0.1848459,648.9287121811776,0.04732805881244427,False,2.333416666666667,3.667,1.0,2.208416666666667,2.0000833333333334,2.75,2.0978373842592597,3.3685927854938273
2015-09-14,5,VANGUARD 1,753.2658834241159,8620.533555504595,2.993573889398249,False,-0.9578523554276669,-0.28726097055059635,0.1848465,648.9210996370148,0.04732808346521996,False,2.750083333333333,4.667,1.667,2.66675,2.6111666666666666,2.333416666666667,2.5336429398148153,2.8740945216049383
2015-09-15,5,VANGUARD 1,1127.600129055189,8620.530890431268,2.665073327079881,False,-0.9626519747161487,-0.2707418984477642,0.1848472,648.9128928215414,0.047328105412735307,False,3.0554166666666664,4.0,2.333,3.097125,3.2221666666666664,2.750083333333333,3.1737771990740744,2.6017525077160495
2015-09-16,5,VANGUARD 1,2615.7149758000537,8620.530466562936,0.42386833229102194,False,-0.9671667297977312,-0.2541427094613622,0.1848469,648.9151334632234,0.04732810890339381,False,2.5832083333333333,3.9996666666666667,1.333,2.472125,2.4304166666666664,3.0554166666666664,2.6125509259259263,2.773323688271605
2015-09-17,5,VANGUARD 1,3670.4282507719604,8620.52593117505,4.535387884970987,False,-0.97139528468375,-0.23746831555846842,0.1848474,648.9071261647641,0.0473281462534398,False,1.9442916666666668,4.333,0.333,2.097,2.3192500000000003,2.5832083333333333,2.5418449074074076,2.776057677469136
2015-09-18,5,VANGUARD 1,3749.5597188598495,8620.523356179443,2.5749956075742375,False,-0.9753363880767837,-0.2207236509605022,0.1848466,648.9119235690841,0.04732816745919022,False,2.611083333333333,3.333,2.0,2.5694583333333334,2.361125,1.9442916666666668,2.08735300925926,2.4139162808641976
2015-09-19,5,VANGUARD 1,2824.8977075666626,8620.519901661606,3.4545178368716734,False,-0.9789888737409319,-0.20391367068311472,0.1848454,648.9194522310063,0.04732819590805702,False,2.5973333333333333,4.667,0.333,2.5695416666666664,2.7084166666666665,2.611083333333333,2.8748784722222225,2.5013587962962966
2015-09-20,5,VANGUARD 1,1324.08798958088,8620.516908102172,2.993559433889459,False,-0.9823516608469237,-0.18704334906991657,0.1848438,648.9308048443163,0.047328220560832704,False,4.388875,7.0,2.667,4.375,4.236083333333333,2.5973333333333333,3.481502314814815,2.8145779320987656
2015-09-21,5,VANGUARD 1,678.5572979034677,8620.5164418489,0.46625327195215505,False,-0.9854237542919524,-0.17011767832049052,0.1848438,648.9304247750706,0.04732822440055706,False,1.8750833333333334,3.333,1.0,2.083416666666667,2.3056666666666668,4.388875,3.054242476851852,3.1368744212962962
2015-09-22,5,VANGUARD 1,1809.7889607958773,8620.511890584485,4.551264415567857,False,-0.9882042449941422,-0.15314166701312007,0.1848401,648.9586106776605,0.04732826188150275,False,2.1667083333333332,3.667,1.333,2.180625,2.1111666666666666,1.8750833333333334,1.9948437500000002,2.843529513888889
2015-09-23,5,VANGUARD 1,3214.359247380353,8620.511228293888,0.662290596665116,False,-0.9906923101615609,-0.13612033862266704,0.1848394,648.9641051627832,0.047328267335656656,False,2.5554583333333336,3.667,1.333,2.499875,2.3610416666666665,2.1667083333333332,2.1980902777777778,2.41572550154321
2015-09-24,5,VANGUARD 1,3834.391652634736,8620.507000233723,4.228060164678027,False,-0.9928872135356962,-0.11905873003404988,0.1848359,648.9908303892234,0.04732830215497524,False,1.6805833333333335,2.667,1.0,1.6250416666666665,1.7222083333333333,2.5554583333333336,2.1776336805555556,2.1235225694444444
2015-09-25,5,VANGUARD 1,3428.229881828832,8620.503418572778,3.5816609452012926,False,-0.994788305609327,-0.10196189005174576,0.1848343,649.0017035532719,0.04732833165103959,False,1.5554583333333334,3.0,0.333,1.6665833333333333,1.819416666666667,1.6805833333333335,1.6770625000000001,2.0175954861111114
2015-09-26,5,VANGUARD 1,2136.580675583892,8620.50113500095,2.2835718282294692,False,-0.9963950238187231,-0.08483487790576538,0.1848318,649.0213933166815,0.047328350456962286,False,0.972125,2.0,0.333,0.999875,0.8609583333333334,1.5554583333333334,1.072783564814815,1.6424932484567902
2015-09-27,5,VANGUARD 1,793.3545444459735,8620.498316301848,2.8186991021357244,False,-0.9977068927101168,-0.06768276175455162,0.1848303,649.0320263502826,0.047328373669841335,False,0.76375,1.333,0.333,0.749875,0.8054583333333333,0.972125,0.9032968750000002,1.217714313271605
2015-09-28,5,VANGUARD 1,1058.4803468103385,8620.494925388688,3.39091315981932,False,-0.9987235240803972,-0.050510617185222886,0.1848294,649.0370206260523,0.047328401595109364,False,0.8889166666666667,2.111,0.0,0.8055416666666666,0.7916249999999999,0.76375,0.752221064814815,0.9094338348765434
2015-09-29,5,VANGUARD 1,2529.955297100249,8620.492329223054,2.5961656338040484,False,-0.9994446170919858,-0.033323525711631344,0.1848292,649.0366284066204,0.047328422975392706,False,1.0276666666666667,2.667,0.0,1.2082083333333333,1.3332083333333333,0.8889166666666667,1.2935295138888891,0.9830158179012347
2015-09-30,5,VANGUARD 1,3625.8106094792606,8620.489330389264,2.9988337901158957,False,-0.9998699583618592,-0.016126573270657762,0.184829,649.0359079427471,0.04732844767180162,False,0.3750416666666667,0.889,0.0,0.33337500000000003,0.33337500000000003,1.0276666666666667,0.413949652777778,0.819900077160494
2015-10-01,5,VANGUARD 1,3766.87653015381,8620.48656998096,2.760408304311568,False,-0.9999994220246925,0.001075151282798226,0.1848304,649.0215890567506,0.04732847040471513,False,2.1944583333333334,3.667,1.0,1.9028333333333334,1.5695,0.3750416666666667,1.1265596064814816,0.9446795910493829
2015-10-02,5,VANGUARD 1,2904.8296114043837,8620.483952628487,2.6173524729529163,False,-0.999832969770105,0.018276557681691223,0.1848316,649.0091108898396,0.04732849195953139,False,2.5973333333333333,3.667,1.667,2.763958333333333,2.9167083333333337,2.1944583333333334,2.8228159722222226,1.4544417438271606
2015-10-03,5,VANGUARD 1,1418.1836493856317,8620.48130878661,2.643841877215891,False,-0.9993706508539969,0.03547255575312556,0.1848335,648.9905767990003,0.04732851373251381,False,2.3194583333333334,3.333,1.333,2.277833333333333,2.264,2.5973333333333333,2.343996527777778,2.0977907021604936
2015-10-04,5,VANGUARD 1,659.2916313703073,8620.479110001823,2.1987847867421806,False,-0.9986126020839734,0.052658056924614005,0.1848362,648.9655091297045,0.0473285318403048,False,3.04175,4.333,1.667,2.8472500000000003,2.7777499999999997,2.3194583333333334,2.761766203703704,2.6428595679012346
2015-10-05,5,VANGUARD 1,1717.2869866398787,8620.476921814981,2.1881868415221106,False,-0.9975590477788613,0.06982797572987089,0.1848397,648.9335537297775,0.04732854986082932,False,2.9445416666666664,5.0,1.333,3.139041666666667,3.23625,3.04175,3.1116620370370374,2.7391415895061733
2015-10-06,5,VANGUARD 1,3146.0373435983693,8620.474590576288,2.3312386929319473,False,-0.9962102997023297,0.0869772313136861,0.1848428,648.9049299253138,0.0473285690594511,False,3.222208333333333,4.333,1.667,2.972208333333333,2.652833333333333,2.9445416666666664,2.6989259259259266,2.857451388888889
